Temparature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,pH Value,Soil Condition,Fertilizer Name
26.0,52.0,38.0,37,0,0,8.139894864188207,Good,Urea
29.0,52.0,45.0,12,0,36,6.864641615079301,Excellent,DAP
34.0,65.0,62.0,7,9,30,4.800630109758037,Poor,14-35-14
32.0,62.0,34.0,22,0,20,7.241335619058504,Good,28-28
28.0,54.0,46.0,35,0,0,6.726040979724391,Excellent,Urea
26.0,52.0,35.0,12,10,13,9.06835908164651,Good,17-17-17
25.0,50.0,64.0,9,0,10,9.141558144837624,Moderate,20-20
33.0,64.0,50.0,41,0,0,6.113603084376309,Good,Urea
30.0,60.0,42.0,21,0,18,10.049020591976698,Good,28-28
29.0,58.0,33.0,9,7,30,8.780393616202423,Good,14-35-14
27.0,54.0,28.0,13,0,40,6.820185574355923,Excellent,DAP
31.0,62.0,48.0,14,15,12,10.350988809325829,Moderate,17-17-17
25.0,50.0,65.0,36,0,0,6.402526569243791,Good,Urea
32.0,62.0,41.0,24,0,22,11.651851117035292,Moderate,28-28
26.0,52.0,31.0,14,0,41,11.636265628767193,Good,DAP
31.0,62.0,49.0,10,13,14,8.262164063427335,Moderate,17-17-17
33.0,64.0,34.0,38,0,0,9.817365971259466,Moderate,Urea
25.0,50.0,39.0,21,0,19,9.660619479295104,Good,28-28
28.0,54.0,65.0,39,0,0,6.336638847071344,Good,Urea
29.0,58.0,52.0,13,0,36,9.7365607096845,Moderate,DAP
30.0,60.0,44.0,10,0,9,11.155273976068225,Good,20-20
34.0,65.0,53.0,12,14,12,7.987112457341665,Poor,17-17-17
35.0,68.0,33.0,11,0,37,11.090341598814671,Moderate,DAP
28.0,54.0,37.0,36,0,0,11.683892859952843,Good,Urea
33.0,64.0,39.0,13,0,10,11.453914500496593,Moderate,20-20
26.0,52.0,44.0,23,0,20,10.76662092132002,Good,28-28
30.0,60.0,63.0,9,9,29,10.01033895696724,Moderate,14-35-14
32.0,62.0,30.0,38,0,0,5.14929849595349,Moderate,Urea
37.0,70.0,32.0,12,0,39,9.194186486322586,Moderate,DAP
26.0,52.0,36.0,14,0,13,9.936018684934924,Good,20-20
29.0,58.0,40.0,24,0,23,6.830697657407396,Excellent,28-28
30.0,60.0,27.0,12,0,40,11.22885555340141,Good,DAP
34.0,65.0,38.0,39,0,0,5.928352166340968,Moderate,Urea
36.0,68.0,38.0,7,9,30,9.715124183085443,Moderate,14-35-14
26.0,52.0,48.0,23,0,19,7.302702335501484,Excellent,28-28
28.0,54.0,35.0,41,0,0,10.864004243535838,Good,Urea
30.0,60.0,61.0,8,10,31,8.877896960285328,Moderate,14-35-14
37.0,70.0,37.0,12,0,41,6.939275370490222,Good,DAP
25.0,50.0,26.0,15,14,11,5.041406313910362,Good,17-17-17
29.0,58.0,34.0,15,0,37,7.90878567544933,Good,DAP
27.0,54.0,30.0,13,0,13,11.455511939395858,Good,20-20
30.0,60.0,58.0,10,7,32,8.580402827602304,Moderate,14-35-14
32.0,62.0,34.0,22,0,24,7.782533606007535,Moderate,28-28
34.0,65.0,60.0,35,0,0,8.97981070263928,Poor,Urea
35.0,67.0,42.0,10,0,35,7.10294986242312,Good,DAP
38.0,70.0,48.0,8,8,28,9.063127259814468,Moderate,14-35-14
26.0,52.0,32.0,12,0,8,11.5931566927992,Good,20-20
29.0,58.0,43.0,24,0,18,10.401389116726444,Good,28-28
30.0,60.0,29.0,41,0,0,6.215174723352014,Excellent,Urea
33.0,64.0,51.0,5,9,29,10.06482398599406,Poor,14-35-14
34.0,65.0,31.0,23,0,21,10.54175485650634,Moderate,28-28
36.0,68.0,33.0,13,0,14,9.335697242118677,Moderate,20-20
28.0,54.0,38.0,40,0,0,4.11024039002599,Good,Urea
30.0,60.0,47.0,12,0,42,4.677201230758896,Good,DAP
