Temparature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,pH Value
23.5,46.98,44.43,1,20,20,8.936255446486996
28.49,56.61,36.96,6,0,12,6.811272075501446
31.64,69.93,26.31,17,0,12,11.423992948555695
29.38,53.5,37.11,9,1,3,7.4418973915127715
30.63,48.47,42.44,45,0,1,4.598741408784149
22.8,50.13,24.57,11,3,44,4.752591000550955
32.25,63.55,56.37,11,3,39,7.194544150728001
28.23,46.91,30.9,14,17,9,9.321417276304615
31.75,46.07,32.2,39,3,3,8.944632366488989
28.62,60.33,42.04,12,0,12,4.867159433717113
27.5,58.0,38.5,15,10,12,6.9
29.1,61.2,41.0,12,8,18,7.2
26.8,55.4,35.2,14,12,16,6.6
31.0,65.0,48.0,5,0,30,7.8
24.0,45.0,25.0,8,2,40,5.2
33.0,50.0,32.0,25,5,5,8.2
36.5,75.0,55.0,5,2,3,4.7
22.0,35.0,15.0,0,0,0,9.8
34.0,80.0,60.0,40,0,0,9.5
28.0,90.0,70.0,0,50,0,4.5
